 month,total_crime,total_suspect,theft,theft_suspect,violence,violence_suspect,drug,drug_suspect,drug_weight_g,crime_per_100_thousand,suspect_per_100_thousand,clearance_percentage,econ_index,recession,time,clearance_percentage_lag1,clearance_percentage_lag2,recession_lag1,recession_lag2,umemploy_people_1000 ,umemployment_rate,job_participation_rate,work_force_1000,non_work_force_1000,drug_lag1,drug_lag2,violence_lag1,violence_lag2
2017M02,20966,20193,4046,2419,98,145,3945,4262,853259.15,89.05,85.77,95.49,28,0,192,93.36,88.09,0,0,453,3.85,58.75,11760,8257,3962,4051,96,122
2017M03,25422,24450,4642,2840,115,162,5226,5601,481728.84,107.97,103.84,94.35,24,0,193,95.49,93.36,0,0,445,3.78,58.73,11758,8264,3945,3962,98,96
2017M04,22795,21887,4344,2535,109,147,3921,4186,1056103.41,96.81,92.95,93.31,21,0,194,94.35,95.49,0,0,432,3.67,58.7,11757,8273,5226,3945,115,98
2017M05,25257,24564,4701,2896,113,159,5004,5338,1511940.37,107.25,104.31,94.62,20,0,195,93.31,94.35,0,0,431,3.66,58.7,11762,8276,3921,5226,109,115
2017M06,23715,22835,4410,2625,120,163,4496,4766,408373.9,100.7,96.96,93.27,22,0,196,94.62,93.31,0,0,440,3.74,58.75,11777,8268,5004,3921,113,109
2017M07,27453,27481,4368,2867,108,187,6782,7246,553893.82,116.56,116.67,95.88,22,0,197,93.27,94.62,0,0,454,3.84,58.91,11813,8239,4496,5004,120,113
2017M08,27745,27589,4496,2889,123,175,6381,6834,640275.17,117.79,117.12,95.96,25,0,198,95.88,93.27,0,0,461,3.89,59.01,11838,8222,6782,4496,108,120
2017M09,24647,24721,4196,2623,100,156,5437,5875,519979.21,104.63,104.94,95.62,28,0,199,95.96,95.88,0,0,445,3.77,58.86,11811,8254,6381,6782,123,108
2017M10,24734,24807,4432,2918,118,180,4438,4739,180938.81,104.98,105.29,95.5,23,0,200,95.62,95.96,0,0,443,3.75,58.91,11825,8249,5437,6381,100,123
2017M11,24131,24334,4267,2884,87,157,5017,5386,349589.74,102.4,103.27,95.9,23,0,201,95.5,95.62,0,0,439,3.71,58.94,11837,8246,4438,5437,118,100
2017M12,21860,20696,4164,2412,73,123,3906,4131,1621020.93,92.75,87.81,90.81,22,0,202,95.9,95.5,0,0,433,3.66,58.92,11838,8253,5017,4438,87,118
2018M01,24026,24695,4005,2972,84,149,4566,5017,739925.57,101.93,104.77,95.47,20,0,203,90.81,95.9,0,0,430,3.63,58.91,11839,8257,3906,5017,73,87
2018M02,19267,19932,3101,2163,72,98,3741,4098,1256317.19,81.74,84.56,95.67,24,0,204,95.47,90.81,0,0,438,3.7,58.88,11835,8267,4566,3906,84,73
2018M03,25511,26467,4050,3106,89,143,5130,5627,1601060.04,108.23,112.28,96.59,23,0,205,95.67,95.47,0,0,433,3.66,58.87,11836,8270,3741,4566,72,84
2018M04,24624,24506,3750,2711,78,110,5121,5502,2552663.78,104.46,103.96,93.92,26,0,206,96.59,95.67,0,0,431,3.64,58.86,11836,8274,5130,3741,89,72
2018M05,25457,25251,4168,2885,102,207,5102,5450,302301.7,108,107.12,95.35,29,0,207,93.92,96.59,0,0,430,3.63,58.86,11841,8275,5121,5130,78,89
2018M06,22654,22983,3690,2522,74,123,4598,4894,8586437.96,96.1,97.5,95.82,22,0,208,95.35,93.92,0,0,439,3.7,58.92,11857,8267,5102,5121,102,78
2018M07,24926,25650,3998,2925,95,131,5444,5825,346650.67,105.73,108.8,96.72,27,0,209,95.82,95.35,0,0,453,3.81,59.09,11896,8235,4598,5102,74,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
